# Dictionary generated from iliad.txt
# Words with counts >= 10 and < 100
# Total unique words matching: 2143
# Format: word	count

drove	39
gloomy	39
hope	39
labours	39
live	39
lycian	39
olympus	39
rear	39
revenge	39
seek	39
seized	39
shine	39
storm	39
twelve	39
within	39
approach	38
army	38
awful	38
bestow	38
birth	38
cares	38
ear	38
fill	38
noble	38
out	38
panting	38
raging	38
reach	38
remain	38
sees	38
shores	38
tender	38
took	38
virgil	38
world	38
beside	37
daughter	37
descending	37
due	37
famed	37
follow	37
glories	37
hair	37
numbers	37
paradise	37
prayer	37
received	37
red	37
show	37
spears	37
broke	36
conquer	36
dares	36
descend	36
extended	36
feast	36
headlong	36
height	36
hell	36
hills	36
instant	36
lion	36
menelaus	36
mourn	36
others	36
ponderous	36
prepare	36
refulgent	36
springs	36
toil	36
after	35
arise	35
brass	35
courage	35
dear	35
do	35
fired	35
future	35
low	35
march	35
paid	35
sarpedon	35
send	35
think	35
trust	35
urge	35
white	35
wind	35
wretched	35
already	34
bears	34
begun	34
bend	34
demands	34
haughty	34
heap	34
hoary	34
load	34
mingled	34
point	34
rolling	34
scatter	34
spartan	34
tide	34
alarms	33
bravest	33
claim	33
coast	33
cold	33
common	33
dark	33
design	33
dogs	33
dryden	33
felt	33
fiery	33
flaming	33
guide	33
inglorious	33
living	33
pours	33
present	33
prove	33
pursue	33
rolls	33
secret	33
seen	33
spirit	33
thundering	33
tremble	33
watch	33
wine	33
bent	32
chariots	32
drives	32
good	32
impetuous	32
knees	32
labour	32
leader	32
nine	32
offspring	32
perish	32
rapid	32
reverend	32
shake	32
shot	32
silence	32
speed	32
sure	32
three	32
veil	32
wife	32
youthful	32
breathless	31
bring	31
cease	31
city	31
confess	31
danger	31
glittering	31
groan	31
hundred	31
ill	31
leads	31
learn	31
look	31
off	31
oft	31
sacrifice	31
sends	31
solemn	31
squadrons	31
strife	31
thrice	31
thunders	31
vessels	31
warm	31
wars	31
waters	31
wisdom	31
alas	30
another	30
borne	30
find	30
iris	30
meanwhile	30
pleased	30
scamander	30
snatch	30
sustain	30
under	30
wing	30
wretch	30
amid	29
ardour	29
arrows	29
ask	29
burns	29
conquering	29
cried	29
debate	29
divide	29
embrace	29
favour	29
front	29
funeral	29
having	29
hollow	29
least	29
mount	29
mournful	29
neck	29
none	29
oppress	29
passage	29
phrygian	29
rites	29
rock	29
shoulders	29
threw	29
thunderer	29
try	29
tumult	29
wild	29
about	28
blue	28
buckler	28
convey	28
daring	28
distance	28
dying	28
eyed	28
fed	28
feel	28
foaming	28
forces	28
helm	28
hurl	28
iliad	28
iron	28
lead	28
mortals	28
numerous	28
pain	28
past	28
pity	28
reins	28
retire	28
shed	28
stone	28
thence	28
triumph	28
vengeful	28
warlike	28
won	28
abodes	27
adorn	27
anguish	27
arts	27
began	27
bending	27
circle	27
darkness	27
deed	27
deeds	27
destroy	27
destruction	27
died	27
driven	27
electronic	27
forced	27
foundation	27
gift	27
huge	27
idomeneus	27
imperial	27
keep	27
master	27
meantime	27
moved	27
pointed	27
presents	27
receive	27
roar	27
second	27
secure	27
solid	27
sovereign	27
tear	27
tell	27
terms	27
thirst	27
tower	27
twas	27
v	27
went	27
almighty	26
argument	26
bends	26
bid	26
blazing	26
bleed	26
bleeding	26
c	26
drops	26
falling	26
fills	26
foremost	26
fought	26
hast	26
hearts	26
met	26
moves	26
mutual	26
open	26
possess	26
river	26
run	26
shoulder	26
sinks	26
sorrow	26
spoil	26
spreads	26
stroke	26
tempest	26
ten	26
tomb	26
array	25
arrow	25
brothers	25
captive	25
defend	25
destined	25
draws	25
guardian	25
guards	25
hate	25
pay	25
polydamas	25
restore	25
rule	25
seize	25
spare	25
swell	25
teucer	25
tore	25
trench	25
united	25
weight	25
among	24
beauty	24
bled	24
carcase	24
counsel	24
decree	24
disdain	24
double	24
early	24
fast	24
gentle	24
glow	24
